step_index,time_years,steps_per_year_model,call_live,put_live,call_coupon_rate_pct,put_coupon_rate_pct,call_model_daily_roll_pct,put_model_daily_roll_pct,call_completion_time_years,put_completion_time_years,call_strike_completion_per_share_usd,call_strike_pv_per_share_usd,put_strike_completion_per_share_usd,put_strike_pv_per_share_usd
187,0.742063,252,0,0,2.75,2.75,0.01076592,0.01076592,0.742063,0.742063,588.929564,588.929564,588.929564,588.929564
188,0.746032,252,0,0,2.75,2.75,0.01076592,0.01076592,0.746032,0.746032,588.992968,588.992968,588.992968,588.992968
189,0.75,252,0,0,2.75,2.75,0.01076592,0.01076592,0.75,0.75,589.056378,589.056378,589.056378,589.056378
190,0.753968,252,0,0,2.75,2.75,0.01076592,0.01076592,0.753968,0.753968,589.119796,589.119796,589.119796,589.119796
191,0.757937,252,0,0,2.75,2.75,0.01076592,0.01076592,0.757937,0.757937,589.18322,589.18322,589.18322,589.18322
192,0.761905,252,0,0,2.75,2.75,0.01076592,0.01076592,0.761905,0.761905,589.246651,589.246651,589.246651,589.246651
193,0.765873,252,0,0,2.75,2.75,0.01076592,0.01076592,0.765873,0.765873,589.310089,589.310089,589.310089,589.310089
194,0.769841,252,0,0,2.75,2.75,0.01076592,0.01076592,0.769841,0.769841,589.373533,589.373533,589.373533,589.373533
195,0.77381,252,0,0,2.75,2.75,0.01076592,0.01076592,0.77381,0.77381,589.436985,589.436985,589.436985,589.436985
196,0.777778,252,0,0,2.75,2.75,0.01076592,0.01076592,0.777778,0.777778,589.500443,589.500443,589.500443,589.500443
197,0.781746,252,0,0,2.75,2.75,0.01076592,0.01076592,0.781746,0.781746,589.563908,589.563908,589.563908,589.563908
198,0.785714,252,0,0,2.75,2.75,0.01076592,0.01076592,0.785714,0.785714,589.62738,589.62738,589.62738,589.62738
199,0.789683,252,0,0,2.75,2.75,0.01076592,0.01076592,0.789683,0.789683,589.690859,589.690859,589.690859,589.690859
200,0.793651,252,0,0,2.75,2.75,0.01076592,0.01076592,0.793651,0.793651,589.754345,589.754345,589.754345,589.754345
201,0.797619,252,0,0,2.75,2.75,0.01076592,0.01076592,0.797619,0.797619,589.817837,589.817837,589.817837,589.817837
202,0.801587,252,0,0,2.75,2.75,0.01076592,0.01076592,0.801587,0.801587,589.881337,589.881337,589.881337,589.881337
203,0.805556,252,0,0,2.75,2.75,0.01076592,0.01076592,0.805556,0.805556,589.944843,589.944843,589.944843,589.944843
